Name,Description,Image,Alt
Wheel of Fortune,"The Wheel of Fortune is generally an indicator of luck or destiny and it is a Major Arcana signifier of change. When the Wheel of Fortune appears upright in your Tarot reading big changes are coming. These changes should be for your greater good, but remember not all change is easy even if it’s leading you to your destiny! The upright Wheel of Fortune signals that the universe is working in your favor to help you reach your goals. Make sure you make the most of this time by focusing your intention on what you truly want! Know that the universe has a plan for you even if that plan is not clear to you at this point. The Wheel of Fortune also represents the ever-changing cycles we go through in life. We must learn to accept this process as part of living, even if it’s uncomfortable at times. This trump card is also a karma card so remember to be nice to people on your way up, you may be meeting them again on your way back down!",wheel-of-fortune,Wheel of Fortune
Justice,"The Justice Tarot card relates to karmic justice, legal matters and cause and effect. In a general context Justice is showing you that all actions have consequences. So look at your present circumstances in that context, how have your own actions contributed to where you find yourself today? Are there any karmic lessons that you should be learning from your current situation? This Major Arcana card is also a signifier of legal matters being resolved in a fair and balanced matter. This is usually a favorable omen if you are involved in a legal dispute. Justice is concerned with truth and integrity, so you may find yourself compelled to speak the truth and that you more than ever value honesty and integrity in others. Justice also relates to balance. It may signify that circumstances may arise that could throw you off balance. These circumstances may or may not be beyond your control or of your own making. Either way, you must try to keep yourself on an even-keel as events unfold. The Justice card can also indicate that you have a choice to make when it appears in your Tarot readings as you will be weighing up all your options and balancing the scales.",justice,Justice
The Hanged Man,"In a general context, The Hanged Man Tarot card indicates that you are in a situation that you are not happy with. You may be feeling like you are stuck in a rut or trapped in a situation or frame of mind that is not making you happy but you have the power to release yourself. This may involve walking away from the situation or simply changing your perspective on it. The Hanged Man may also signify that you may be facing a dilemma and are unsure of what path to take. You may feel that things are not turning out the way you planned with this Major Arcana card appearing in your Tarot spread. You need to step outside yourself and look at your situation from a different angle. Give yourself time to just relax, stop trying to control things and just let them be, the correct course of action will become clear to you in time.",the-hanged-man,The Hanged Man
Death,"Although it is the Tarot card that many people fear, Death generally does not mean physical death. As a rule you should never predict deaths (or the outcomes of illnesses or pregnancies for that matter) as a Tarot reader. It is unethical and irresponsible. Aside from the ethics, The Death Tarot Card usually signifies spiritual transformation and a time of change and new beginnings, not actual death! The transformation or change that Death can bring can be difficult, unexpected, sudden or even traumatic but it will bring with it a new lease of life. Its best to try not to resist the change the Death Tarot card brings as resisting it will only make the transition difficult and painful. Instead try to embrace the change as a fresh start. This Major Arcana card can also signify the need to let go of old issues or beliefs when it appears in a Tarot spread. It may be telling you that you need to draw a line under the past in order to move forward in a positive direction. A Death card transformation can be a bit of a shock to the system but ultimately it’s a positive one.",death,Death
Temperance,"In a general context, the Temperance Tarot card signifies balance, peace, patience and moderation. This Major Arcana card indicates that you have found your inner calm and have a good perspective on things. It is a sign that the relationships in your life are harmonious. You have learned not to allow yourself to be dragged into other people’s conflict or to let minor issues knock you off balance. Instead you adapt to the situations with a clear mind and calm heart and keep your balance. Temperance can also signify that you have found peace and tranquility and you are feeling content. Temperance indicates that you are truly in touch with who you are inside, what you value and your own moral compass and you are finding it easier to figure out your aspirations and set yourself goals.",temperance,Temperance
The Devil,"In a general context, The Devil Tarot card can signify depression or addiction. It can also be a sign of feeling trapped or restricted. With this Major Arcana card in your Tarot spread you may feel as though outside influences or forces beyond your control are restricting you, leaving you feeling powerless and victimized. However, this is the illusion The Devil creates. You are in control of your own destiny and are not bound by anything other than your own attitudes and behavior. Don’t give up and don’t give away your power. You don’t have to tolerate negativity, criticism, manipulation or abuse from anyone. There are always options and there is always something positive you can do to improve your situation no matter how hopeless things may seem on the surface. Likewise be mindful of how you are treating others and make sure you are not trying to manipulate or control people in your life either. The Devil upright in your Tarot reading can also indicate obsessive, secretive or impulsive behavior. It can be a sign that you are out of control. The Devil Tarot card is also a signifier of materialism and may show that you have become overly concerned with material things, status or power. These are not things that will make you truly fulfilled as a person so put your energy into the things that will.",the-devil,The Devil
The Tower,"The Tower represents change in the most radical and momentous sense. It is for this reason that the card itself visually looks so unnerving. But it doesn't necessarily have to be truly frightening or ominous. Because at the heart of this card, its message is foundational, groundbreaking change. The kind of event that the Tower card marks does not have to be something terrible, like a disaster or a great loss.  Change itself is a normal part of life that one has to embrace. But it can sometimes strike fear, for it means that we must abandon the truths that we have known prior to this event. The old ways are no longer useful, and you must find another set of beliefs, values and processes to take their place. Be positive, it is time for you to replace the old foundations of the past with something that is more genuine and will serve you better in what is to come.",the-tower,The Tower
The Star,"In a general context, The Star indicates hope for the future, inspiration and contentment. With this Major Arcana card in your Tarot spread you will find yourself feeling very positive, motivated and free. You will be feeling very serene and in tune with the universe as The Star is a card of spiritual connection. The Star is a very positive omen. It is the period of calm and stability that follows the storm that was The Tower. The Star indicates that you have come through your tough times with a renewed sense of yourself and the world around you, you are full of calm, well-balanced energy and you are open to healing the wounds of the past. Whatever mental, emotional, physical or spiritual issues you were experiencing are now behind you and you are ready to embrace what your future holds. Trust that the universe has a plan for you and trust the feeling you have that everything is going to be OK.  You will be feeling confident in yourself and people will like you for who you are with this card in your Tarot reading. The Star can also indicate creativity and artistic flair, so now would be a great time to take up an artistic hobby.",the-star,The Star
The Moon,"The general meaning of The Moon Tarot card in an upright position is that everything is not as it seems. It is also the Major Arcana Tarot card of intuition. The Moons tells you that something about a situation or person in your life is not what it appears to be and you need to trust what your instincts are telling you in order to see past this illusion. The Moon also indicates that you should pay attention to your dreams as your subconscious may be bringing your attention to some information you’ve missed. The Moon can also signify that you are letting your anxiety or fear overwhelm you which may be having a negative effect on your outlook and causing you to suffer from mood swings, instability or insecurity. It can also represent a woman’s menstrual cycle. The Moon can also signify dormant insecurities or repressed issues resurfacing. The Moon Tarot card can represent underhanded or dodgy deals or illegal behavior. If it appears in this context it is a warning to clean your act up before your behavior is exposed. If you are awaiting a decision on something, The Moon indicates that the answer will either be delayed or be so vague it will add to your confusion rather than clarify matters.",the-moon,The Moon
The Sun,"The Sun Tarot card is the Major Arcana card of positivity, optimism, freedom and fun. When The Sun appears in an upright position, things should be going well for you as this card also represents success and enthusiasm. You will find that people are drawn to the happy vibes and positive energy you are giving out and you will bring light and joy to everyone and everything you come into contact with. You will be feeling carefree, liberated and self-assured. It is also the card of truth so if you have been the victim of lies or deception, The Sun is coming to shine its light on the deceit to reveal the truth and the perpetrators of the lies. The Sun Tarot card in an upright position also signifies good luck. Any problems you have been experiencing will melt away with the warmth this card brings. It can also indicate travel to a country with a warm climate.",the-sun,The Sun
Judgment,"In a general context, the Judgment Tarot card can indicate that you and/or someone you care about are being judged too harshly by others. It can also indicate that you are judging people harshly or making snap judgments yourself. Alternatively, Judgment can also be an indication that you have achieved a level of clarity and composure that allows you to calmly evaluate yourself and your choices in order to make positive decisions. You have come through your past karmic lessons with increased self-awareness and you are allowing healing to take place so you can move forward in a positive direction. If you have a big decision to make when this Major Arcana card appears, use the karmic lessons you have learnt from the past to help you make the right choice.  Judgment upright can represent a legal matter or court case being resolved. If you have acted honorably and told the truth, this matter should be resolved in your favor. If you have been dishonest, don’t expect things to go your way. You need to clear your conscience and try to make amends for your misdeeds. This Major Arcana card can also signify being separated from someone you love by an ocean or sea. You can expect to be reunited with them soon when it appears. It can also indicate homesickness.",judgment,Judgment
The World,"In a general context, The World Tarot card signifies having the world at your feet! This can be in a literal sense as The World is one of the Travel cards of the Major Arcana. It can represent new worlds opening up for you so you can expect to be welcomed by the people in the countries you travel to. The World can also mean you will have the world at your feet in another sense, i.e. that you will be successful and the opportunities available to you at the moment are endless. You have gone through the trials and tribulations of the rest of the Major Arcana, you have endured the hardships and learned your lessons and now you will reap the rewards. You should be proud of what you have achieved, it has not been easy to get here but you’ve done it. The universe is smiling upon you and luck is on your side when this Major Arcana card appears in your reading so grab the opportunities available to you. The World can represent the completion of a challenge such as a university course or a project or can represent finally achieving a dream or aspiration such as starting your own business, getting married or having children. You have reached the point where you can be happy with what you have accomplished. Success can bring a whole new set of challenges or worries so make sure you’re not carrying the weight of the world on your shoulders. You’ve worked hard to get to this point so stop and savor the moment! Celebrate your accomplishments.",the-world,The World
Ace of Wands,"In a general context, the Ace of Wands represents good news and new beginnings. It signifies taking action, physically starting something, new initiative and finding new passion, enthusiasm or spark. It is a Minor Arcana card of accepting a challenge, getting fired up and getting in the game. It can also represent discovering your potential or talent and brings a sense of urgency and a new lease of life when it appears in your Tarot spread. This is a card indicates that you have creative spark and are feeling bold and daring. It also signifies spontaneity and excitement so expect fun times when it appears in your Tarot reading. This card can also represent fertility, conception and birth.",ace-of-wands,Ace of Wands
Two of Wands,"In a general context, the Two of Wands signifies having two paths. When this Minor Arcana card appears in your Tarot reading you have decisions to make or a choice between two options but remember the grass isn’t always greener on the other side! This card can signify overseas travel, sudden departures, emigration and deciding if you will stay or go. It can also indicate a lack of contentment with your life, restlessness, withdrawal and detachment. It can represent waiting, anticipation and wanderlust. It is also a card of cooperation, business partnerships or overseas expansion.",two-of-wands,Two of Wands
Three of Wands,"In a general context, the Three of Wands represents freedom, adventure, travel, moving abroad and foreign lands. It can indicate hard work paying off, success and being happy with your choices or the outcome of your situation. This card also signifies foresight, forward planning, moving forward, growth and expansion. It is a Minor Arcana card of self-confidence, self-belief, spreading your wings and experiencing life. It tells you that fortune favors the brave. It can also represent holiday romances and long distance relationships.",three-of-wands,Three of Wands
Four of Wands,"In a general context, the Four of Wands represents happy families, celebrations, surprises, parties, weddings and events. It signifies coming home and reunions, feeling like you fit in and being made to feel welcome and supported. This Minor Arcana card indicates success, prosperity, stability, security and laying down roots. It tells you that you will be proud of your achievements and that your self-esteem will be high when it appears. It also represents team work, community spirit and communities or families coming together.",four-of-wands,Four of Wands
Five of Wands,"In a general context, the Five of Wands represents rows, arguments, conflict, fighting and disagreements. It signifies struggle, opposition, battles, aggression and temper. This Minor Arcana card represents clashing personalities or egos, pent up energy and aggression, irritation and frustration. You can expect a lack of cooperation, lack of control, pettiness, strikes, chaos or unruliness when it appears in your Tarot reading. It can also represent being rough, defensive or territorial and can signify competition and sports.",five-of-wands,Five of Wands
Six of Wands,"In a general context, the Six of Wands represents success, victory, winning, triumph, achievement and having the advantage. It also signifies praise, acclaim, awards, recognition, applause and goodwill. It is a Minor Arcana card of fame, celebrity, fans, well-wishers, supporters, crowds and being in the spotlight. It indicates that someone is being a leader, riding high, confident and proud with high self-esteem. It is a card of strength and stability and can also represent successful campaigns and winning battles.",six-of-wands,Six of Wands
Seven of Wands,"In a general context, the Seven of Wands represents opposing, standing up for what you believe in, fighting your corner and holding your own. It signifies taking the high road, maintaining control and being strong willed. This Minor Arcana card also indicates someone who is protective, defensive, assertive, forceful, relentless, determined and territorial. It can suggest that you are under attack, being harassed, blamed or scapegoated but you are resisting. Life may be challenging, busy and hectic with this card in your Tarot spread so you will need stamina to endure.",seven-of-wands,Seven of Wands
Eight of Wands,"In a general context, the Eight of Wands represents hastiness, speed, rushing, progress, movement and action. It is a Minor Arcana card of sudden action, excitement, exciting times, travel, freedom, holidays and holiday romances. Whatever you turn your hand to at the moment will take off at great speed and gain momentum. You will be feeling positive and energetic. You will be thinking on your feet, seeing results and finding solutions. Your hard work will be paying off and you will be ahead of the game. The Eight of Wands also represents infatuation, obsession and getting carried away or being swept off your feet.",eight-of-wands,Eight of Wands
Nine of Wands,"In a general context, the Nine of Wands tells you that you are half way through a battle. Recent events have left you drained of all energy and feeling like you can’t go on, but you are so close to getting what you want! You just need to gather the last of your strength and push forward and you will be successful. It represents ongoing battles, being battle weary, drained of energy and fatigued. It also signifies courage, persistence, strength of will, having a backbone, holding out and perseverance. It is a Minor Arcana card of gathering your strength, learning from past failures, fighting your corner and making your last stand. You may be wounded, guarded or expecting trouble when it appears in your Tarot reading. It can suggest that things have not worked out the way you planned and there have been challenges and setbacks along the way. The Nine of Wands also tells you that you are close to success or nearly there.",nine-of-wands,Nine of Wands
Ten of Wands,"In a general context, the Ten of Wands represents a situation that started off as a good idea but has now become a burden. It signifies problems, responsibilities, being overburdened, overloaded and stressed. It indicates that you have a huge weight on your shoulders and you feeling obligated, saddled and restricted.  This Minor Arcana card can signify being taken for granted, struggle, major challenges, drudgery and duty. It suggests that you have taken on too much and may be heading for burn out. This card does however also indicate that the end is insight and if you keep going you will be successful. It can also signify delays, losing your way, losing your focus and having an uphill struggle.  It can indicate that the fun or spontaneity has gone out of your life.",ten-of-wands,Ten of Wands
Page of Wands,"In a general context, the Page of Wands represents good news that should be coming to you swiftly or shortly. This may take the form of letters, phone calls or word of mouth. This Minor Arcana card also signifies having bright ideas about what you can do, being inspired or creative, making new exciting plans, thinking big and finding something you are passionate about. It can also indicate that you may have a tendency to rush into new things without thinking them through fully when it appears in your Tarot spread. You may be releasing your inner child and find yourself feeling very playful and having fun when it appears. As a person, the Page of Wands represents a young person, child or person who is young at heart, who is fresh, cheerful, playful, active, optimistic and full of energy. This person will have lots of bright ideas and new exciting plans. They may be a fire sign such as Aries, Leo or Sagittarius. They may be a bit of a cheeky charmer or lovable rogue. They are charismatic, free-thinking, confident, intelligent, extroverted and fearless but may have a tendency to rush to action without considering the consequences.",page-of-wands,Page of Wands
Knight of Wands,"In a general context, the Knight of Wands indicates that things are going better than you expected and any ventures you have taken on are likely to be more successful than you hoped.  You should be full of energy, enthusiasm and confidence and should be feeling fearless and brave when it appears in your Tarot reading. It tells you to take action and put your ideas and plans into motion. This Minor Arcana card signifies getting things done and finishing what you start. However, this card tells you not to be hasty, don’t rush in without thinking and just expect things to work out. It is also a card of free-spirited adventure, travel and moving country. As a person, the Knight of Wands is an adult (20-35 years of age and usually male) who is charming, adventurous, energetic, warm and exciting. He may be a fire sign such as Aries, Leo or Sagittarius. He will be fearless, confident and self assured. He believes he knows best and is a man of action. He is heroic, rebellious, brave and a revolutionary with an open mind and a free spirit. He is sexy, warm and charming but can be quite cold and uncaring to anyone who tries to tame him or restrict his freedom in any way and he is a shameless flirt. He can also be hasty and at times can rush into action without thinking things through and has a hot temper.",knight-of-wands,Knight of Wands
Queen of Wands,"In a general context, the Queen of Wands indicates that you will be optimistic, outgoing and full of energy. You will be accomplishing many tasks and keeping a lot of balls in the air when she appears in your Tarot spread. People will be tired just looking at you because you are always on the go! This card represents taking charge of things and organizing your life. It a Minor Arcana card of being efficient and helping others. It can also represent being chaotic and forgetful as the amount of things you have taken on might take their toll after a while.  As a person, the Queen of Wands a represents mature female or feminine person who is energetic, vivacious, strong, courageous and passionate.  She may be a fire sign such as Aries, Leo or Sagittarius. She is independent, confident, optimistic, outgoing and assertive and she has an abundance of sex appeal and a great sense of humor. She has an abundance of energy and is a brilliant multi-tasker. In the negative, she can be chaotic, hot tempered and forgetful as she has so many balls in the air at once.",queen-of-wands,Queen of Wands
King of Wands,"In a general context, the King of Wands indicates that you will have the energy, experience and enthusiasm to accomplish what you set out to achieve at this time. You are taking control of your life. You will motivate those around you, lead the way forward and set a good example for those who look up to you. You do not worry about other people’s opinion of you and you dare to be different when this Minor Arcana card appears in your Tarot reading. As a person, the King of Wands is a mature male who is confident, strong, energetic and optimistic and a natural born leader. He may be a fire sign such as Aries, Leo or Sagittarius He is friendly by nature, funny, charming and good with words. He is also fearless, freethinking, motivated and action-orientated.  He has an independent streak and as such, he needs his freedom and will not tolerate neediness. The King of Wands does not like to let emotions stand in the way of his enjoyment of life. He is usually supportive of those around him and has learned to be lenient. However, the King of Wands can be self-centered, hot-tempered and controlling. However, at his best, when he is allowed his freedom, he is proud, passionate, honest, loyal, dependable and protective.",king-of-wands,King of Wands
Ace of Cups,"In a general context, the Ace of Cups Tarot card in an upright position signifies new beginnings, usually in terms of love, empathy, compassion and/or happiness. When this Minor Arcana card appears it indicates that you will be feeling happy, positive and good about yourself. Now is a great time to begin new friendships and get out there and socialize. People will be very receptive, kind and friendly to you with this card appearing in your Tarot reading. It can also be an indication of good news or celebrations coming your way.",ace-of-cups,Ace of Cups
Two of Cups,"In a general context, when the Two of Cups Tarot card appears things should be going well for you and life should be very harmonious.  The Two of Cups is a very positive card. While it normally relates to unity and love in romantic relationships it can signify harmony and mutual respect and appreciation in friendships and partnerships. This Minor Arcana card can also signify equality and balance when it appears in your tarot spread. As this is an attraction card, you may find you are popular or sought after in many areas on your life!",two-of-cups,Two of Cups
Three of Cups,"In a general context, the Three of Cups Tarot card is the Minor Arcana card of reunion or celebration. It can signify someone from your past coming back in to your life. It can also signify parties, festivals, weddings, engagement parties, baby showers and other similar celebrations. With this card appears in your Tarot reading you can look forward to a happy event in your life. It signifies group of people coming together with open hearts and minds to celebrate important events. It is a very positive card that indicates happy times, uplifting and positive energy and good feelings.",three-of-cups,Three of Cups
Four of Cups,"In a general context, the Four of Cups Tarot Card can represent missed opportunities, remorse or regret. It can also signify becoming self-absorbed due to depression, negativity or apathy. The Four of Cups can indicate that you are feeling bored or disillusioned with your life, you may be focusing on the negative or feeling like the grass is greener on the other side. You may feel like you have lost your passion and motivation for life. When this Minor Arcana card appears in your Tarot spread it comes with a warning to be mindful of the opportunities or offers available to you. You may be inclined to dismiss them as insignificant now but you could realize later that they would have led on to amazing things. The Four of Cups can also represent feeling nostalgic, daydreaming or fantasizing.",four-of-cups,Four of Cups
Five of Cups,"How many negative emotions can one card represent? Quite a few in the case of the Five of Cups! In a general context, the Five of Cups Tarot card can represent sadness, loss, loneliness and despair. When this card appears it indicates that you are focusing on the negative. This may be the result of some sort of trauma or unwelcome change you have suffered. As such, this card can signify heartbreak, divorce or separation. The Five of Cups also tends to appear if you have suffered a recent bereavement as it represents mourning and grief. It is a card of emotional baggage and instability and can signify that you feel deep remorse, regret, anger, sorrow or disappointment. It is also the Minor Arcana card of abandonment and can either represent you being abandoned by someone significant to you or you abandoning plans or people in your life. It can also indicate loneliness or isolation. However, for all the negative connotations this card can bring there is a positive message underneath it all. The figure depicted in the card is crying over the split cups and seems to be oblivious to the fact that two cups are still upright. This is reminding you that no matter how bad things may seem there is always a silver lining, you just have to choose to see it.",five-of-cups,Five of Cups
Six of Cups,"In general context, the Six of Cups Tarot card can represent nostalgia, childhood memories and focusing on the past. When this card appears in a Tarot spread you may be being influenced by past events, reminiscing about the past or thinking about someone from your past. The Six of Cups is also the Minor Arcana card of children, young people and youthfulness and can represent having children or taking care of or working with them. It can signify simplicity, playfulness, innocence, goodwill and sharing. It can also represent protection and family. If you have been going through a tough time, the Six of Cups may be telling to take the support available to you from family and close friends. When the Six of Cups appears in a Tarot spread it can also indicate that you are being childish or immature. If combined with certain supporting cards it can, in some cases, indicate childhood abuse. It can also signify homesickness for those that live abroad.",six-of-cups,Six of Cups
Seven of Cups,"In a general context, the Seven of Cups Tarot card represents having lots of options to choose from or multiple possibilities open to you. It can be an indication that you have so many choices or so many things going on at once that you may be overwhelmed or unable to focus properly. You need to limit the amount of things you are taking on to a manageable amount. There is no point in agreeing to do things if you can’t give them the time and attention they deserve. Try to be realistic about what you can commit to. The Seven of Cups can also signify that you may be indulging in wishful thinking, fantasies or living in a dream world. When this Minor Arcana card appears in a Tarot reading, it indicates that you need to make a decision in your life and realistically look at where you are. Take proactive steps to make your situation better rather than fantasizing about how you want it to be. Your imagination is a great tool to help you envision your future but it will never happen unless you take action to make it happen.",seven-of-cups,Seven of Cups
Eight of Cups,"In a general context, the Eight of Cups represents abandonment. It can signify walking away from people or situations in your life or abandoning your plans. It can indicate disappointment, escapism and turning your back on or leaving bad situation. The Eight of Cups can also represent the exhaustion or weariness that can prompt such a decision. Strength and courage are necessary to walk away from what you know into an unknown future and these qualities are also represented in the Eight of Cups. It is a Minor Arcana card representing travel so you could find yourself embarking on an adventure when this card appears in your Tarot reading. The Eight of Cups can signify loneliness, introspection, self-analysis and looking for the truth.",eight-of-cups,Eight of Cups
Nine of Cups,"In a general context, the Nine of Cups Tarot card is a positive card which indicates your wishes will be coming true or your dreams will become a reality. If you have experienced hardship, sorrow or pain recently, this card tells you that the bad times are behind you now and a time of happiness, joyfulness and fulfillment is coming. With this Minor Arcana card appearing in your Tarot spread you will be able to accomplish anything you put your mind to as it represents triumph, success and achievement. Your efforts will not go unnoticed either as it also signifies recognition, acclaim and even fame. The Nine of Cups also represents having high self-esteem and self-confidence. It is a card of celebrations and parties.",nine-of-cups,Nine of Cups
Ten of Cups,"In a general context, the Ten of Cups Tarot card is a great card to have in your Tarot reading as it represents true happiness and emotional and spiritual fulfillment. It tells you that you will be living your happy ever after and can look forward to domestic bliss. This Minor Arcana card represents happy families, children, caring and fun. You should be feeling very happy and secure when it appears in your Tarot reading. Life should be full of true contentment. This applies to you and your circle of family and friends. Everything you need you should have in abundance and you will be feeling truly blessed. Now is a time to reap the rewards of your previous hard work. The Ten of Cups Tarot card also represents playfulness and creativity so you may find the fun factor in your life goes up a notch when this card makes an appearance. The Ten of Cups can also signify reunions, home comings or family gatherings so if you have been away from your family, friends or partner or they have gone abroad, you can expect to be reunited with them.",ten-of-cups,Ten of Cups
Page of Cups,"In a general context, the Page of Cups is a bringer of messages. This can be in the form of happy news, important information, invitations to social events, gossip or the potential for romantic proposals. It can also represent your inner child so don’t take things too seriously when this card appears. It may be a sign that you need to connect to your inner child by embracing the fun and frivolous side of life. It can also represent beauty, fashion, glamour or style so you may be trying out a new personal style or having fun with fashion when this Minor Arcana card appears in your Tarot spread. The Page of Cups can also signify that you are beginning to gain a level of emotional maturity that allows you to be kind, compassionate, helpful, affectionate and loyal.  If representing a person, the Page of Cups signifies a young person, child or person who is young at heart, who is a bit of a daydreamer, intuitive, naive, sensitive and idealistic. They may be a water sign such as Cancer, Scorpio or Pisces.",page-of-cups,Page of Cups
Knight of Cups,"In a general context, the Knight of Cups Tarot card can represent proposals, offers, good news and invitations. The news or offers he brings usually carry with them a lot of excitement. They are the kinds of offers or news we hope to receive. Knights as action takers and as such, this Minor Arcana card can be an indication that now is the time to take action and follow your heart or that you are about to get swept off your feet. The Knight of cups can also signify gentleness, affection and warmth. It can also represent grace under pressure or diplomacy so you may find yourself acting as a mediator in resolving any disputes or conflict. If representing a person the Knight of Cups is a charming adult (usually 20-35 year of age and usually male) who is emotional, romantic, caring, gentle and idealistic. He is chivalrous, warm, tactful and a peace lover or good negotiator. He may be a water sign such as Cancer, Scorpio or Pisces.",knight-of-cups,Knight of Cups
